index,county,latitude,longitude,service category,project type,parts,material,connector,equipment,land use,stakeholder,service provider,budget,construction area,load,KPI,construction period
train_9981,Oceanside,33.25462,-117.28331100000001,TG,Grading,line,PE,PPE,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Public City Street,Contractor - 3rd Party,Other,67489,18.26,3,796.6610826757237,95
train_9982,Imperial,33.172881,-115.55376899999999,T,Sewer (Sanitary/Storm),line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Company,Other,15403,150.5,2,673.3523228801574,51
train_9983,San Diego,32.764989,-117.12278500000001,TG,Sewer (Sanitary/Storm),valve,ST,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Unknown,55142,10.83,7,1080.168022708372,76
train_9984,San Diego,32.764998,-117.073641,TG,Natural Gas Pipeline,main,ST,MPL,Not Available,Public City Street,Contractor - 3rd Party,Contract Locator,67687,6.09,24,,101
train_9985,Riverside,33.86055,-116.56148999999999,T,Sewer (Sanitary/Storm),line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,21308,49.81,4,935.0951569266208,84
train_9986,Los Angeles,34.141586,-117.957627,T,Unknown/Other,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Business,Contractor - 3rd Party,Other,29442,15.84,2,1039.468557086248,51
train_9987,Tulare,36.301334000000004,-119.37258600000001,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Utility Owner,57798,31.5,2,769.155544964249,57
train_9988,Ventura,34.212717,-118.88213400000001,T,Landscaping,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Other,Unknown/Other,Unknown,64867,22.36,4,809.0163386425418,62
train_9989,Orange,33.668172999999996,-117.734156,T,Fencing,valve,Plastic,PLM,"Trencher, ditchwitch, rockwheel, similar equipment (TR)",Private Land Owner,Contractor - 3rd Party,Other,37475,32.25,2,990.9273032940793,65
train_9990,Riverside,33.86055,-116.56148999999999,T,Electric,line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,27213,40.39,3,767.2279983528688,67
train_9991,Los Angeles,33.74212,-118.312878,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Unknown/Other,Unknown,22906,10.76,2,561.8633404111348,47
train_9992,Los Angeles,34.022581,-117.902359,T,Water Pipeline,line,Plastic,PP,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Utility Owner,40727,3.4,2,,65
train_9993,Kern,35.393475,-119.120453,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Utility Owner,58666,17.62,2,1237.617528592368,53
train_9994,Los Angeles,33.986270000000005,-117.82128200000001,T,Landscaping,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Other,53683,23.13,2,903.4527499596826,53
train_9995,Los Angeles,34.102077,-118.057754,T,Water Pipeline,main,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,31603,10.48,4,496.8660142625527,92
train_9996,Los Angeles,34.147149,-118.463365,T,Water Pipeline,line,Steel (ST),MPL,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Public City Street,Municipality,Utility Owner,25554,10.84,7,940.8483696023441,60
train_9997,San Luis Obispo,35.23575,-120.615973,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Utility Owner,24403,70.78,2,,52
train_9998,Riverside,34.003265999999996,-117.442004,T,Sewer (Sanitary/Storm),line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Occupant,Unknown,103151,33.85,2,860.3928992389102,45
train_9999,San Diego,32.567021999999994,-117.00425,TG,Site Development,line,PE,PL,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Private Easement,Contractor - 3rd Party,Unknown,67466,47.79,2,,77
train_10000,San Luis Obispo,35.663145,-120.749697,T,Landscaping,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Occupant,Other,65340,384.56,2,813.6561796064783,55
train_10001,Riverside,33.547613,-117.34403999999999,T,Telecommunications,line,Plastic,PP,Boring Equipment (BE),Private Other,Contractor - 3rd Party,Utility Owner,64101,144.06,3,598.2098651842879,36
train_10002,San Luis Obispo,35.037198,-120.504593,T,Grading,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Utility Owner,16353,86.68,2,,57
train_10003,San Bernardino,34.374009,-117.628429,T,Water Pipeline,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,16692,20.83,2,784.100578001882,52
train_10004,Riverside,33.686143,-116.172917,T,Cable Television,main,Plastic,PP,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Public City Street,Contractor - 3rd Party,Utility Owner,58641,31.29,4,558.2636357225654,76
train_10005,Los Angeles,34.018195,-117.854821,T,Sewer (Sanitary/Storm),line,Polyethylene (PE),PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Contract Locator,64938,12.79,3,987.6201087360963,70
train_10006,Riverside,33.753959,-116.24648700000002,T,Drainage,valve,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Easement,Contractor - 3rd Party,Other,43484,24.47,3,,65
train_10007,Riverside,33.925519,-117.55195800000001,T,Electric,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Unknown\Other,Contractor - 3rd Party,Utility Owner,24945,14.49,2,988.4932840125126,53
train_10008,Los Angeles,33.736323999999996,-118.279183,T,Electric,line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,66529,14.53,3,975.343083257614,67
train_10009,Los Angeles,34.148617,-118.433298,T,Irrigation,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,34928,9.44,2,453.0145499720327,49
train_10010,Ventura,34.193341,-118.81869499999999,T,Driveway,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Company Contractor,Other,37290,21.92,2,512.1765485390397,54
train_10011,Ventura,34.237254,-119.184449,T,Road Work,line,Plastic,MPL,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Public Other,Contractor - 3rd Party,Utility Owner,64399,21.08,2,566.4695862425763,12
train_10012,Los Angeles,33.952725,-118.291904,T,Telecommunications,line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Utility Owner,77373,16.24,2,770.3166669605655,57
train_10013,Los Angeles,34.108022999999996,-118.45696399999999,T,Telecommunications,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Company,Utility Owner,10471,12.2,3,471.58250734298315,54
train_10014,Riverside,33.547613,-117.34403999999999,T,Landscaping,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,78431,121.5,2,799.2585379369832,53
train_10015,San Bernardino,34.059093,-117.39065900000001,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Other,47031,12.56,2,920.1648196583832,58
train_10016,San Bernardino,34.083619,-117.26846,T,Electric,Not Applicable,Plastic,PPE,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Utility Owner,17435,21.55,3,890.1559622530182,53
