index,county,latitude,longitude,service category,project type,parts,material,connector,equipment,land use,stakeholder,service provider,budget,construction area,load,KPI
test_1406,Los Angeles,34.146628,-118.139476,T,Fencing,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,27847,2.96,2,588.0385471234259
test_1407,Los Angeles,34.74739,-118.369249,T,Drainage,valve,Plastic,PLM,"Trencher, ditchwitch, rockwheel, similar equipment (TR)",Private Land Owner,Contractor - 3rd Party,Other,55788,219.5,2,
test_1408,San Luis Obispo,35.465349,-120.689439,T,Storm Drain/Culvert,valve,Polyethylene (PE),MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public County Road,Contractor - 3rd Party,Utility Owner,26040,55.78,2,617.4124793197852
test_1409,San Diego,33.147294,-117.322181,TG,Drainage,valve,PE,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Easement,Contractor - 3rd Party,Unknown,40836,10.01,3,
test_1410,Santa Barbara,34.533221999999995,-119.791731,T,Drainage,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Utility Owner,34675,111.74,3,514.5088941298693
test_1411,Los Angeles,34.713333,-118.152788,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,37259,25.96,2,1147.1048032880058
test_1412,Los Angeles,34.011312,-118.46976200000002,T,Sewer (Sanitary/Storm),line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,26188,3.54,2,
test_1413,Ventura,34.175967,-118.945093,T,Drainage,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,60621,30.77,2,682.989742111045
test_1414,Los Angeles,34.066117,-118.846342,T,Electric,line,Steel (ST),PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Unknown/Other,Unknown,21084,92.43,24,605.9136731312316
test_1415,San Diego,33.25462,-117.283311,TG,Grading,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Unknown\Other,Contractor - 3rd Party,Unknown,46416,17.48,3,854.0497964702739
test_1416,Los Angeles,34.115267,-118.088301,T,Bldg. Demolition,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,34657,3.92,2,1037.2830793790988
test_1417,Los Angeles,34.080017,-118.262643,T,Grading,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,57101,7.92,2,961.2679294179887
test_1418,Los Angeles,34.070409999999995,-118.350411,T,Landscaping,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,46809,3.16,3,880.8790921108348
test_1419,Los Angeles,33.970343,-118.171368,T,,line,Polyethylene (PE),MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",,,,133905,5.71,2,1200.129041035053
test_1420,Orange,33.71338,-117.751274,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,49270,9.25,3,
test_1421,Los Angeles,34.326584000000004,-118.382261,T,Telecommunications,line,Steel (ST),PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,93041,66.41,7,587.7820828712287
test_1422,San Bernardino,34.00448,-117.684707,T,Cable Television,line,Plastic,PPE,Not Available,Private Land Owner,Contractor - 3rd Party,Unknown,103550,26.07,2,
test_1423,Ventura,34.205336,-119.17483500000002,T,Drainage,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Other,55710,19.88,2,813.0228065886455
test_1424,San Luis Obispo,35.465349,-120.689439,T,Fencing,valve,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Contract Locator,41752,48.6,2,732.3385851571402
test_1425,Santa Barbara,34.831792,-120.43350900000002,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,39940,126.88,2,596.8230395995853
test_1426,Orange,33.879319,-117.961734,T,Landscaping,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,57643,10.62,3,518.0045785538922
test_1427,San Bernardino,34.259971,-117.199381,T,Fencing,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,15330,13.75,2,466.0280796241337
test_1428,Orange,33.848733,-117.788357,T,Irrigation,line,Polyethylene (PE),PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Unknown,33901,14.84,2,796.9609027628235
test_1429,San Bernardino,34.124199,-117.181054,T,Water Pipeline,line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,70337,23.59,3,710.9463081439346
test_1430,Orange,33.647763,-117.919761,T,Grading,line,Steel (ST),PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Dedicated Public Utility Easement,Contractor - 3rd Party,Utility Owner,92555,9.99,7,897.449977765078
test_1431,Riverside,33.882584,-117.442292,T,Electric,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Dedicated Public Utility Easement,Contractor - 3rd Party,Utility Owner,123360,29.9,2,908.2377663088513
test_1432,Los Angeles,34.048041,-118.294177,T,Electric,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,82348,9.3,2,577.9493536556238
test_1433,Los Angeles,33.972782,-118.022066,T,Water Pipeline,main,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Utility Owner,28144,15.46,4,725.4887789673976
test_1434,Riverside,33.910599,-116.765976,T,Sewer (Sanitary/Storm),line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,10348,14.89,3,884.0980138070007
test_1435,Orange,33.601966,-117.864254,T,Natural Gas Pipeline,line,Plastic,PPE,Boring Equipment (BE),Private Land Owner,Company Contractor,Other,16942,9.64,3,463.3934771541847
test_1436,Kern,35.393475,-119.120453,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Dedicated Public Utility Easement,Contractor - 3rd Party,Other,80233,18.03,2,804.33671422792
test_1437,Los Angeles,34.05038,-118.211991,T,Sewer (Sanitary/Storm),line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,65953,7.29,2,658.8037991294436
test_1438,San Bernardino,34.243482,-117.281304,T,Fencing,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Unknown,14857,14.53,2,809.2013956696998
test_1439,Orange,33.884702000000004,-117.731288,T,Bldg. Demolition,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Unknown,Contractor - 3rd Party,Other,21358,14.13,3,770.654232874251
test_1440,Orange County,33.547233,-117.62375,T,Landscaping,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,34293,17.8,2,1116.3582186382978
test_1441,Tulare,36.39177700000001,-119.372842,T,Electric,main,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,42321,66.28,4,1284.7010062095733
test_1442,Los Angeles,34.200485,-118.664836,T,Water Pipeline,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public County Road,Contractor - 3rd Party,Utility Owner,40586,10.52,3,523.1476534764647
test_1443,Imperial,32.770197,-115.59859,T,Unknown/Other,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,48909,152.77,3,802.4352655547264
test_1444,Riverside,34.003266,-117.442004,T,Water Pipeline,line,Steel (ST),PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,73012,37.13,2,771.5986960488432
test_1445,Riverside,33.511228,-117.042396,T,Storm Drain/Culvert,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Other,Contractor - 3rd Party,Utility Owner,87235,91.24,3,597.0207025563242
test_1446,Los Angeles,34.051819,-118.383582,T,Natural Gas Pipeline,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Unknown\Other,Contractor - 3rd Party,Other,34466,11.04,2,890.8398399699672
test_1447,Los Angeles,34.150818,-118.368159,T,Grading,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,26044,7.62,2,721.5616588444752
test_1448,Tulare,35.988087,-118.860221,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Unknown/Other,Unknown,77264,423.95,2,651.5244708479172
test_1449,Los Angeles,34.1528,-118.000482,T,Grading,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Business,Contractor - 3rd Party,Unknown,49147,9.59,7,418.28054944633936
test_1450,Los Angeles,34.066117,-118.846342,T,Bldg. Construction,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Contractor - 3rd Party,Other,27359,110.15,3,
test_1451,Los Angeles,34.108957000000004,-118.156615,T,Drainage,valve,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,32180,6.76,2,470.99363532364265
test_1452,Riverside,33.934328,-117.367312,T,Curb/Sidewalk,line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Unknown,47455,24.62,2,732.1050030993025
test_1453,Riverside,33.948338,-116.988022,T,Drainage,valve,Plastic,PPE,"Trencher, ditchwitch, rockwheel, similar equipment (TR)",Private Land Owner,Contractor - 3rd Party,Unknown,48347,39.17,2,1007.260306204523
